"currency","mean_model","p","q","dist","aic","bic","lbz","lbz2c","lbz2a","persistence"
"TWI","ARMA(1,0)",4,2,"std",1.28809727550443,1.31593039944677,0.603554925604404,7.10153623332266e-05,1.46523693905776e-05,0.932311822841929
"TWI","ARMA(1,0)",4,2,"sstd",1.28693159036824,1.31754802670481,0.587858543716614,3.53311623175756e-05,6.9778727270764e-06,0.938840058143715
"TWI","ARMA(1,0)",1,3,"norm",1.30993633583121,1.32941952259085,0.556042105693018,0.242085182314428,0.123323892743515,0.900507068626168
"TWI","ARMA(1,0)",1,3,"std",1.283203414096,1.30546991324987,0.592815614168679,0.000610469322293694,0.000146641224289978,0.920325787543435
"TWI","ARMA(1,0)",1,3,"sstd",1.28209723270668,1.30714704425478,0.579954927143923,0.000454170779229823,0.000106645774949787,0.926692770938325
"TWI","ARMA(1,0)",2,3,"norm",1.31092889208607,1.33319539123993,0.556038691384794,0.242062240641143,0.123309419346966,0.900511797965634
"TWI","ARMA(1,0)",2,3,"std",1.28419597072357,1.30924578227167,0.592810211988155,0.000610169417365469,0.000146563569630609,0.920326572268555
"TWI","ARMA(1,0)",2,3,"sstd",1.28308979001271,1.31092291395504,0.579948616961026,0.000454005066666707,0.000106603917566672,0.92669028128449
"TWI","ARMA(1,0)",3,3,"norm",1.31192144837049,1.33697125991859,0.556041059049268,0.242062522357004,0.123309597072625,0.900512077086594
"TWI","ARMA(1,0)",3,3,"std",1.28518852616336,1.3130216501057,0.592808058211471,0.000610177136855072,0.000146565568404311,0.920325908009427
"TWI","ARMA(1,0)",3,3,"sstd",1.2840823449769,1.31469878131347,0.579950359355001,0.000454032261307469,0.00010661078658214,0.926691892663505
"TWI","ARMA(1,0)",4,3,"norm",1.31319812799354,1.34103125193588,0.555240242634748,0.236971859978782,0.120108923163549,0.900385849692233
"TWI","ARMA(1,0)",4,3,"std",1.28638577793633,1.3170022142729,0.592439779339328,0.000535983014744557,0.000127457743660409,0.920562669833523
"TWI","ARMA(1,0)",4,3,"sstd",1.28527951294498,1.31867926167578,0.579697507374889,0.00040163411405425,9.3440761976149e-05,0.926857009627097
"TWI","ARMA(1,0)",1,4,"norm",1.31110015754518,1.33336665669905,0.563059096355139,0.215899204972351,0.107092087937097,0.899372075812432
"TWI","ARMA(1,0)",1,4,"std",1.2842235210225,1.3092733325706,0.602337889987593,0.000319597270898586,7.31077245325062e-05,0.916440784565094
"TWI","ARMA(1,0)",1,4,"sstd",1.28318207014362,1.31101519408596,0.588330779335733,0.000301333566499085,6.8634296029102e-05,0.923698746014898
"TWI","ARMA(1,0)",2,4,"norm",1.31207030127412,1.33712011282222,0.563878972169782,0.217388749686747,0.107999845271323,0.892773339061051
"TWI","ARMA(1,0)",2,4,"std",1.28519754514784,1.31303066909018,0.606320764425191,0.000316465319020187,7.23391227672732e-05,0.90248173887989
"TWI","ARMA(1,0)",2,4,"sstd",1.2841583184594,1.31477475479597,0.59013672188933,0.000317260776519945,7.25342762395442e-05,0.911669619820363
"TWI","ARMA(1,0)",3,4,"norm",1.31303291831454,1.34086604225688,0.56638508192585,0.242238151883782,0.123420409149498,0.886318931448332
